sid	stu_name	email	init_edollars	type	pid
G5676456H	Anne Finch	anne.2017@smu.edu.sg	105		BSCS
G8648990Z	Shanice Mcdowell	shanice.2016@smu.edu.sg	105.03		BSS
G1729413D	Corrie Steele	corrie.2015@smu.edu.sg	105.19	SM	BSS
S5980235F	Bill Moore	bill.2015@smu.edu.sg	150	DD	BSIS
G6508415U	Maaria Steadman	maaria.2016@smu.edu.sg	105.41		BBM
G1137006D	Barnaby Hamilton	barnaby.2015@smu.edu.sg	150	DD	BBM
S9123123G	Garwin Drover	garwin.2016@smu.edu.sg	106		BSCS
G5537802C	Calvin Pham	calvin.2014@smu.edu.sg	106.58	DD	BAcc
G9099284H	Abida Rahman	abida.2015@smu.edu.sg	106.59		BAcc
S5779711E	Christine Coles	christine.2014@smu.edu.sg	106.67	SM	BSS
G9634313O	Harper Davenport	harper.2014@smu.edu.sg	106.87		BL
G8664220K	Carlos Macleod	carlos.2014@smu.edu.sg	106.89		BBM
S3257628K	Natasha Ali	natasha.2014@smu.edu.sg	107.03		BBM
S2172950D	Cydney Joseph	cydney.2014@smu.edu.sg	107.22	DD	BSEcons
S9512019B	Lucille Wolfe	lucille.2014@smu.edu.sg	107.47	DD	BAcc
S1959876Y	Kieran Kavanagh	kieran.2015@smu.edu.sg	107.49		BSIS
S9076577P	Alex Hall	alex.2016@smu.edu.sg	107.5		BSCS
G4427808K	Conrad Burn	conrad.2014@smu.edu.sg	107.54	SM	BSEcons
S7994946T	Ellena Davila	ellena.2014@smu.edu.sg	107.64		BL
S9973403Z	Jordyn Gonzalez	jordyn.2014@smu.edu.sg	108.34		BL
G6546878H	Teddy Stubbs	teddy.2014@smu.edu.sg	108.37	SM	BSEcons
G7295342P	Warren Maguire	warren.2014@smu.edu.sg	108.4		BAcc
S9863137H	Kiaan Lowe	kiaan.2016@smu.edu.sg	108.47	SM	BL
G6408022P	Bella-Rose Finney	bella-rose.2015@smu.edu.sg	108.66		BSIS
S5156416H	Johnnie Fuller	johnnie.2014@smu.edu.sg	108.75	DD	BSEcons
G4567830O	Aden Whitworth	aden.2014@smu.edu.sg	109.21		BSS
S1574436O	Damien Sykes	damien.2016@smu.edu.sg	109.3		BL
S5535497V	Kaisha Estrada	kaisha.2015@smu.edu.sg	109.46	SM	BAcc
S9555630K	Alicia Gallegos	alicia.2014@smu.edu.sg	109.87	SM	BSEcons
S6553234E	Manoj Jeffrey	manoj.2016@smu.edu.sg	110		BSCS
G8929182Q	Akeel Christie	akeel.2017@smu.edu.sg	110.07	DD	BSS
G2419909N	Brodie Mercado	brodie.2016@smu.edu.sg	110.09	DD	BSIS
G3847770D	Nile Arias	nile.2014@smu.edu.sg	110.68		BL
S6372376C	Ezekiel Hawes	ezekiel.2014@smu.edu.sg	110.95	DD	BSEcons
S3606686O	Hanna Hendricks	hanna.2014@smu.edu.sg	110.99		BSS
S8235578R	Ethan Anderson	ethan.2016@smu.edu.sg	111.07		BAcc
G1303063Y	May Wallace	may.2014@smu.edu.sg	111.09		BAcc
S8884010H	Bevan Shields	bevan.2016@smu.edu.sg	111.37		BAcc
G6352685V	Carla Tate	carla.2014@smu.edu.sg	111.65		BL
S2898553W	Samirah Mccray	samirah.2014@smu.edu.sg	111.85	SM	BSEcons
G4040154Z	Letitia Whitehead	letitia.2017@smu.edu.sg	112.05	SM	BSEcons
S9654347M	Kasper Carey	kasper.2017@smu.edu.sg	112.18	SM	BSEcons
G4697305S	Sabiha Enriquez	sabiha.2017@smu.edu.sg	112.38	SM	BSEcons
G1529605I	Roan Mckenzie	roan.2014@smu.edu.sg	112.41		BL
G7277053N	Kia Galindo	kia.2015@smu.edu.sg	112.65	SM	BAcc
G8285556K	Denise Broadhurst	denise.2014@smu.edu.sg	112.85		BSIS
G4516181I	Idrees Hoover	idrees.2014@smu.edu.sg	113.23	SM	BSEcons
G3541304N	Nettie Salazar	nettie.2014@smu.edu.sg	113.34	SM	BAcc
G6095900Q	Malak Mckenna	malak.2017@smu.edu.sg	113.47		BBM
G7061659B	Mehreen Rodriquez	mehreen.2014@smu.edu.sg	113.58	SM	BAcc
S2738013B	Jaxon Whyte	jaxon.2016@smu.edu.sg	113.66		BSS
G6995330N	Aronas Woodward	aronas.2014@smu.edu.sg	113.67		BL
G4603632Q	Ailish Duran	ailish.2017@smu.edu.sg	114.13	DD	BL
S2450758T	Dominika Lamb	dominika.2017@smu.edu.sg	114.27		BSIS
G1502816S	Orlaith Hayes	orlaith.2014@smu.edu.sg	114.39	SM	BSEcons
S2109129O	Ishaaq Marin	ishaaq.2014@smu.edu.sg	114.53	SM	BAcc
G6688182A	Catrin Villarreal	catrin.2017@smu.edu.sg	114.63		BL
S8737858U	Sky Frame	sky.2014@smu.edu.sg	114.72		BL
G8077726Q	Ashlea Howells	ashlea.2017@smu.edu.sg	114.72	SM	BAcc
S7600501M	Chloe Atkinson	chloe.2014@smu.edu.sg	114.74		BL
G1212345Y	Alvin Fairfax	alvin.2017@smu.edu.sg	115		BSCS
S8678555G	Baxter Randa	baxter.2017@smu.edu.sg	115		BSCS
G5689765Y	Kim Sherwood	kim.2017@smu.edu.sg	115		BSCS
S5391576M	Rianna Bruce	rianna.2014@smu.edu.sg	115.01		BSS
G3602269I	Charmaine Vance	charmaine.2015@smu.edu.sg	115.23		BAcc
G6279170Y	Chanice James	chanice.2014@smu.edu.sg	115.42		BSS
S6756543H	Joshua Earl	joshua.2016@smu.edu.sg	115.5		BSCS
S9556677G	Addy Faye	addy.2017@smu.edu.sg	115.5	DD	BSCS
S6730354A	Lawrence Molloy	lawrence.2017@smu.edu.sg	115.55		BSIS
S3257726R	Eve Graves	eve.2016@smu.edu.sg	190	DD	BSEcons
G7417278H	Ridwan Horton	ridwan.2017@smu.edu.sg	115.89		BAcc
S5211425S	Nadir Reyna	nadir.2016@smu.edu.sg	115.93		BL
G7591832M	Ruby-Mae Oneil	ruby-mae.2017@smu.edu.sg	116.32		BSS
G6070246T	Chanice Buchanan	chanice.2017@smu.edu.sg	116.39	SM	BAcc
S7836281A	Hugh Beck	hugh.2014@smu.edu.sg	116.69		BSEcons
G8378067Q	Maxwell Sykes	maxwell.2016@smu.edu.sg	116.73	DD	BBM
G8001077L	Jamie-Lee Randall	jamie-lee.2014@smu.edu.sg	116.78	DD	BSEcons
G5353294D	Breanna Franks	breanna.2015@smu.edu.sg	116.81		BBM
G7725115U	Elsie-May Allen	elsie-may.2016@smu.edu.sg	117.28		BBM
S9077885U	Daniel Long	daniel.2016@smu.edu.sg	117.6	DD	BSCS
G1781606A	Judy Sims	judy.2016@smu.edu.sg	117.61	SM	BAcc
S8450770F	Zachariah Armitage	zachariah.2015@smu.edu.sg	118.53	DD	BSEcons
S7832410A	Amaan Hodgson	amaan.2016@smu.edu.sg	118.77		BSIS
S1906117S	Sahara Velez	sahara.2016@smu.edu.sg	118.93	SM	BAcc
S3765819D	Donald Simmonds	donald.2014@smu.edu.sg	119.04	SM	BSEcons
S4227810F	Anand Alvarez	anand.2015@smu.edu.sg	119.11		BL
G8308907M	Ahsan Mclaughlin	ahsan.2016@smu.edu.sg	119.59	SM	BSIS
G4000649P	Kirk Landry	kirk.2016@smu.edu.sg	119.84		BBM
S7723092G	Kloe Dudley	kloe.2014@smu.edu.sg	119.94	DD	BAcc
G3645342U	Jane Palin	jane.2017@smu.edu.sg	120	SM	BSCS
G5909842R	Karla Underwood	karla.2014@smu.edu.sg	120.22	SM	BSEcons
G2565720P	Eloisa Morales	eloisa.2014@smu.edu.sg	121.15		BBM
S1722994L	Patrycja Mackenzie	patrycja.2017@smu.edu.sg	121.42		BBM
S9500432P	Zane Partridge	zane.2014@smu.edu.sg	121.5	SM	BSEcons
G7631638J	Rikki Fenton	rikki.2014@smu.edu.sg	121.51		BBM
G5680887C	Neil Weaver	neil.2015@smu.edu.sg	121.65		BSIS
G2429186Y	Jenson Torres	jenson.2017@smu.edu.sg	121.7	DD	BSS
S7262445C	Archie Mcnamara	archie.2017@smu.edu.sg	121.71		BL
G7606895B	Efa Lyon	efa.2014@smu.edu.sg	121.87		BBM
G8606457L	Tiana Fernandez	tiana.2014@smu.edu.sg	121.89	SM	BSIS
S5237478I	Jevon Sanderson	jevon.2014@smu.edu.sg	122.17	DD	BBM
S4105423I	Priyanka Horner	priyanka.2015@smu.edu.sg	122.23	SM	BAcc
G1471709X	Arisha Howe	arisha.2016@smu.edu.sg	122.54	SM	BAcc
G3601136F	Malik Bloggs	malik.2017@smu.edu.sg	122.54	SM	BSEcons
S8211910R	Tre Bentley	tre.2015@smu.edu.sg	122.91		BSEcons
G7275239E	Samiyah Clements	samiyah.2015@smu.edu.sg	123.05	SM	BSEcons
G8091387F	Blythe Bray	blythe.2016@smu.edu.sg	123.21	SM	BBM
G9460735W	Muskaan Mcgill	muskaan.2014@smu.edu.sg	123.23		BL
G1286472C	Millicent Brook	millicent.2016@smu.edu.sg	123.47	SM	BBM
S1672593J	Caris Vickers	caris.2015@smu.edu.sg	123.53		BSEcons
G5470782G	Neelam Shea	neelam.2015@smu.edu.sg	123.75		BL
G2254190C	Vanesa Dodd	vanesa.2015@smu.edu.sg	123.97		BL
G1710841A	Mccauley Benson	mccauley.2016@smu.edu.sg	124.13		BSEcons
G3165721H	Daria Cohen	daria.2017@smu.edu.sg	124.77	SM	BSIS
G6124957P	Ifan Woodley	ifan.2014@smu.edu.sg	124.78		BAcc
S6385490C	Deanne Krueger	deanne.2014@smu.edu.sg	124.8		BL
G4198171R	Annabel Whiteley	annabel.2014@smu.edu.sg	124.94	SM	BSEcons
S8356989D	Barden Langley	barden.2017@smu.edu.sg	125	DD	BSCS
G7867543H	Faith Reid	faith.2017@smu.edu.sg	125	SM	BSCS
G5487681H	Lawson Sheldon	lawson.2017@smu.edu.sg	125		BSCS
S9367636B	Theresa Mosley	theresa.2015@smu.edu.sg	125.02	DD	BAcc
G4550955F	Thea Hawkins	thea.2014@smu.edu.sg	125.12		BL
S8329755B	Kirsten Bolton	kirsten.2015@smu.edu.sg	125.17	SM	BSEcons
G8457555Y	Krystian Almond	krystian.2014@smu.edu.sg	125.28	DD	BL
G1670608F	Micah Storey	micah.2017@smu.edu.sg	125.39	SM	BSEcons
S8175247K	Dania Nicholls	dania.2017@smu.edu.sg	125.64		BSEcons
S4076071F	Daria Sweeney	daria.2014@smu.edu.sg	125.72	DD	BSS
S9076567R	Finch Ralph	finch.2016@smu.edu.sg	125.85		BSCS
G1463742N	Mollie Murillo	mollie.2016@smu.edu.sg	125.99	DD	BAcc
G4783116V	Aniya Cunningham	aniya.2015@smu.edu.sg	126	SM	BAcc
S9065467H	Krupa Seldon	krupa.2016@smu.edu.sg	126	DD	BSCS
G3422369W	Anil Oneal	anil.2014@smu.edu.sg	126.05	SM	BAcc
G6465714E	Maysa Doherty	maysa.2017@smu.edu.sg	126.07		BL
G3293825J	Azaan Peacock	azaan.2014@smu.edu.sg	126.09		BAcc
S9776655I	Francis Rees	francis.2016@smu.edu.sg	126.14		BSIS
S8028529L	Terence Alvarez	terence.2014@smu.edu.sg	126.79		BBM
G6534572L	Lyla-Rose Collier	lyla-rose.2017@smu.edu.sg	127.08		BBM
S4833255V	Tayyibah Browning	tayyibah.2014@smu.edu.sg	127.16	SM	BBM
S5792429Z	Corey Valencia	corey.2014@smu.edu.sg	127.49		BSIS
S4218712F	Umair Hurst	umair.2014@smu.edu.sg	127.9		BAcc
S9045453J	Brian Baker	brian.2016@smu.edu.sg	128		BSCS
G4545323B	Hadi Dodson	hadi.2017@smu.edu.sg	128		BSCS
G8400241C	Flora Burton	flora.2015@smu.edu.sg	128.11		BAcc
G4764822I	Kristopher Diaz	kristopher.2014@smu.edu.sg	128.43		BSS
S2384155R	Sumaiya Carlson	sumaiya.2016@smu.edu.sg	128.5	SM	BSIS
G5643267H	Jaxon Trent	jaxon.2016@smu.edu.sg	128.5	SM	BSCS
G8360571P	Marguerite Alfaro	marguerite.2014@smu.edu.sg	128.64	DD	BL
S2918100D	Leo Mcculloch	leo.2016@smu.edu.sg	128.7		BSS
S2739905Y	Beck Shelton	beck.2014@smu.edu.sg	129.32		BSS
G1959665Z	Kirby Mann	kirby.2015@smu.edu.sg	129.43		BSIS
G9479284O	Kayden Hodge	kayden.2016@smu.edu.sg	129.57		BSS
G1184160B	Stefan Beltran	stefan.2014@smu.edu.sg	129.73		BL
S8201326R	Efe Davey	efe.2014@smu.edu.sg	129.76	SM	BSS
G5968892H	Giovanni Powell	giovanni.2015@smu.edu.sg	129.77		BL
S1912868B	Eesa Sanchez	eesa.2015@smu.edu.sg	129.95	SM	BSS
G5347061I	Casey Kemp	casey.2016@smu.edu.sg	129.96		BSIS
S9167678R	Elisa Langley	elisa.2016@smu.edu.sg	130		BSCS
S5656432J	Krsiten Joan	krsiten.2017@smu.edu.sg	130		BSCS
S6372259K	Crystal Foster	crystal.2016@smu.edu.sg	130.6	DD	BSEcons
G5540533Z	Tomasz Summers	tomasz.2014@smu.edu.sg	130.79	SM	BSS
G7618562Q	Huseyin Jeffery	huseyin.2014@smu.edu.sg	130.93	SM	BSS
S9068054P	Tara Cantu	tara.2017@smu.edu.sg	131.59	SM	BSEcons
S4581547X	Eliot Caldwell	eliot.2016@smu.edu.sg	180	DD	BSIS
G2833242X	Iyla Travis	iyla.2016@smu.edu.sg	132.19	SM	BSIS
S3318386E	Ritik Butler	ritik.2017@smu.edu.sg	132.21		BL
S4296529A	Billy Acevedo	billy.2015@smu.edu.sg	132.78	SM	BSEcons
S4080242Z	Iwan Richardson	iwan.2014@smu.edu.sg	133.1		BSS
S1586916R	Nuha Medrano	nuha.2014@smu.edu.sg	133.5		BBM
S4328342D	Skye Russo	skye.2017@smu.edu.sg	133.61		BAcc
S6769869L	Quinn Mcdonald	quinn.2017@smu.edu.sg	133.63		BBM
S5513291R	Bethan Power	bethan.2017@smu.edu.sg	133.92	SM	BAcc
S7716548W	Madeline Pearce	madeline.2014@smu.edu.sg	133.94	SM	BSEcons
S4299790P	Nida Leon	nida.2017@smu.edu.sg	134.09		BSIS
S5950391V	Ocean Mata	ocean.2015@smu.edu.sg	134.22		BSS
G9539996F	Sinead Bevan	sinead.2014@smu.edu.sg	134.26	DD	BAcc
S3333547L	Tymoteusz Cottrell	tymoteusz.2016@smu.edu.sg	134.4		BSS
G6446445C	Burhan Mullins	burhan.2016@smu.edu.sg	134.44		BAcc
G3905841B	Benny Meadows	benny.2014@smu.edu.sg	134.59	SM	BSEcons
S7501350K	Ellie-Louise Brandt	ellie-louise.2015@smu.edu.sg	134.73		BL
G9560141W	Roisin Roche	roisin.2016@smu.edu.sg	134.82	SM	BSEcons
S8540065F	Omari Greer	omari.2016@smu.edu.sg	135.15		BSEcons
G7391211D	Cassius Hirst	cassius.2017@smu.edu.sg	135.17	DD	BAcc
G5265908X	Thierry Hibbert	thierry.2014@smu.edu.sg	135.43		BSIS
S2261007X	Dainton Whiteley	dainton.2014@smu.edu.sg	135.75		BAcc
S2806170M	Ralph Hastings	ralph.2017@smu.edu.sg	135.8		BL
S3683638B	Jules Strickland	jules.2017@smu.edu.sg	135.93	DD	BBM
G7460165B	Kaden Holloway	kaden.2017@smu.edu.sg	135.94		BSIS
G2452138D	Myah Mullins	myah.2016@smu.edu.sg	136.02		BSS
G9545088I	Isra Wagner	isra.2014@smu.edu.sg	136.04	SM	BAcc
S8780615I	Whitney Dawson	whitney.2014@smu.edu.sg	136.32		BBM
G4836182X	Enya Goddard	enya.2014@smu.edu.sg	136.36	DD	BL
G2960795S	Amelia-Rose Stone	amelia-rose.2014@smu.edu.sg	136.73	SM	BSEcons
G8477050C	Johnnie Stanton	johnnie.2017@smu.edu.sg	136.83	DD	BSEcons
S6689896Y	Emile Charlton	emile.2014@smu.edu.sg	137.01		BSIS
G7540483M	Jaylen Blake	jaylen.2016@smu.edu.sg	137.31		BBM
S7996279P	Federico Mcbride	federico.2014@smu.edu.sg	137.82		BL
S7344142W	Alanis Cherry	alanis.2014@smu.edu.sg	137.85		BSIS
G5355873J	Mohammad Workman	mohammad.2016@smu.edu.sg	137.88	DD	BBM
G5648996J	Kenton Whitney	kenton.2017@smu.edu.sg	138		BSCS
S4463797G	Celyn Marin	celyn.2014@smu.edu.sg	138.17		BL
S3169259O	Marianna Craig	marianna.2017@smu.edu.sg	138.38		BAcc
G9269676O	Philippa Wooten	philippa.2014@smu.edu.sg	138.41	SM	BSEcons
G1778577C	Mia-Rose Howard	mia-rose.2014@smu.edu.sg	138.41		BBM
G6520352T	Tonicha Cairns	tonicha.2014@smu.edu.sg	138.52	DD	BSEcons
G7209637I	Aleesha Townsend	aleesha.2017@smu.edu.sg	138.53		BBM
G8299192S	Soraya Childs	soraya.2014@smu.edu.sg	138.55		BBM
G5005469S	Eileen Bull	eileen.2014@smu.edu.sg	138.78	SM	BAcc
G8213313R	Olli Kaye	olli.2014@smu.edu.sg	138.83		BAcc
S2837130N	Jakob John	jakob.2014@smu.edu.sg	138.92	SM	BSEcons
S7704510U	Franklin Almond	franklin.2017@smu.edu.sg	138.98		BBM
G3517621G	Jett Mccarthy	jett.2014@smu.edu.sg	139.2	SM	BSEcons
S5344542H	Jasleen Wilkes	jasleen.2017@smu.edu.sg	139.59	SM	BSIS
G8691993K	Bert Austin	bert.2014@smu.edu.sg	139.63	DD	BSS
G5687907H	Gifford Reed	gifford.2016@smu.edu.sg	140		BSCS
S7873288J	Mildred Mccoy	mildred.2017@smu.edu.sg	140.06		BBM
G8863636B	Fenella North	fenella.2014@smu.edu.sg	140.34		BSS
S1907931P	Ava-May Fisher	ava-may.2016@smu.edu.sg	140.5	SM	BSEcons
G2500490F	Cem Brett	cem.2014@smu.edu.sg	140.6		BSS
S4471811K	Kaja Cotton	kaja.2014@smu.edu.sg	140.76		BBM
G2480926K	Bethanie Soto	bethanie.2015@smu.edu.sg	140.81	SM	BAcc
G9891706K	Tamsin Davie	tamsin.2017@smu.edu.sg	140.88	SM	BSEcons
G3679981K	Celyn Roche	celyn.2014@smu.edu.sg	140.88		BBM
G3648943Y	Pixie Francis	pixie.2014@smu.edu.sg	140.9		BAcc
S4466659W	Rian Rogers	rian.2014@smu.edu.sg	141.23	SM	BAcc
S8470345G	Francis Aldred	francis.2017@smu.edu.sg	141.57		BL
G1181860O	Adem Conway	adem.2015@smu.edu.sg	141.63		BBM
S8715289A	Yvonne Simpson	yvonne.2014@smu.edu.sg	141.82		BSS
S3750192X	Loki Parra	loki.2016@smu.edu.sg	141.87		BSS
S4805882X	Tyler-James Doyle	tyler-james.2016@smu.edu.sg	142.22		BSS
G3259194S	Gruffydd Greaves	gruffydd.2015@smu.edu.sg	142.45	SM	BSIS
G9166347G	Gina Daugherty	gina.2017@smu.edu.sg	142.58	SM	BSEcons
G4520929J	Ellesse Lake	ellesse.2016@smu.edu.sg	142.84	DD	BL
G6855744R	Glenda Arroyo	glenda.2017@smu.edu.sg	143	SM	BSIS
G5690093P	Keisha Mcclain	keisha.2016@smu.edu.sg	143.16		BAcc
G9053007Q	Wilson Simmonds	wilson.2014@smu.edu.sg	143.16		BSIS
G2177987L	Aiza Miller	aiza.2014@smu.edu.sg	143.29		BBM
G2113973N	Cohan Bull	cohan.2014@smu.edu.sg	143.37		BSS
S8374090Y	Riley-Jay Woodcock	riley-jay.2016@smu.edu.sg	143.77		BAcc
S1452808T	Ines Mcclure	ines.2017@smu.edu.sg	143.95		BSS
G2269103Z	Umayr Frame	umayr.2014@smu.edu.sg	144.35		BSIS
G5276174Z	Caitlyn Hanson	caitlyn.2017@smu.edu.sg	144.46	SM	BSS
S9077869Y	Erwin Lawson	erwin.2017@smu.edu.sg	145		BSCS
S9156666R	Kendall Winnie	kendall.2017@smu.edu.sg	145		BSCS
G4564963T	Lanford Miller	lanford.2017@smu.edu.sg	145		BSCS
G7359118X	Indiana Iles	indiana.2017@smu.edu.sg	145.04	DD	BAcc
S2304139R	Rueben Haynes	rueben.2014@smu.edu.sg	145.33	DD	BAcc
S6994365C	Kacper Alston	kacper.2014@smu.edu.sg	145.33	DD	BBM
G2945877V	Fahim Puckett	fahim.2017@smu.edu.sg	145.41		BL
S8567509F	Waleed Mills	waleed.2015@smu.edu.sg	145.84	DD	BAcc
S5886592Y	Hattie Webber	hattie.2014@smu.edu.sg	146.37	DD	BAcc
G7469456I	Isabella Field	isabella.2016@smu.edu.sg	146.52	SM	BSEcons
G4699673D	Rhianne Bender	rhianne.2014@smu.edu.sg	146.7	SM	BSS
S2187621G	Eva-Rose Carrillo	eva-rose.2014@smu.edu.sg	146.9	DD	BSS
G1233432R	Faiz Guevara	faiz.2016@smu.edu.sg	146.98	SM	BAcc
G9234733E	Zoya Morales	zoya.2014@smu.edu.sg	147.19	DD	BSEcons
S5642922S	Rubie Munoz	rubie.2015@smu.edu.sg	147.41	SM	BBM
S7724305R	Ianis Rios	ianis.2015@smu.edu.sg	147.95		BSIS
S2723873P	Haydn Mcfarlane	haydn.2017@smu.edu.sg	147.96		BL
S2747618Q	Sahar Curtis	sahar.2015@smu.edu.sg	147.97		BBM
S9234476H	Cathy Long	cathy.2017@smu.edu.sg	148		BSCS
S8954347B	Ginger Sidney	ginger.2016@smu.edu.sg	148		BSCS
S2715297F	Maximillian Barr	maximillian.2016@smu.edu.sg	148.09	SM	BSIS
G5384613H	Vikki Haynes	vikki.2016@smu.edu.sg	148.18		BSS
S9824143T	Mahamed Flynn	mahamed.2016@smu.edu.sg	148.23		BAcc
S9876756B	Bryan Rebel	bryan.2017@smu.edu.sg	148.5		BSCS
S9441801X	Maverick Schroeder	maverick.2016@smu.edu.sg	148.71		BSIS
S8204655L	Viola West	viola.2016@smu.edu.sg	148.79	SM	BSEcons
G2164855Y	Isra Roach	isra.2017@smu.edu.sg	148.9	SM	BL
G2915512K	Ocean Hardin	ocean.2016@smu.edu.sg	149.33		BSIS
G9842104J	Chester Hurst	chester.2016@smu.edu.sg	149.69	DD	BSIS
S8276899A	Everett Li	everett.2015@smu.edu.sg	149.78	DD	BL
G8011985T	Tamanna Munoz	tamanna.2016@smu.edu.sg	149.96		BBM
S7746026F	Liberty Hernandez	liberty.2014@smu.edu.sg	149.97	SM	BAcc
S9189863G	Jazz Woodrow	jazz.2016@smu.edu.sg	150		BSCS
G5956661V	Ksawery Haley	ksawery.2015@smu.edu.sg	150.02		BL
S8465365K	Kayden Felix	kayden.2017@smu.edu.sg	150.05	SM	BSS
G2490164E	Hakim Woodley	hakim.2016@smu.edu.sg	150.08		BSS
G2660016K	Lilly-Mai Byers	lilly-mai.2014@smu.edu.sg	150.33		BBM
G6946647I	Berat Hayes	berat.2014@smu.edu.sg	150.57		BSS
S1524184E	Gavin Hough	gavin.2014@smu.edu.sg	150.65	SM	BAcc
G6744977T	Miguel Bourne	miguel.2017@smu.edu.sg	150.77		BBM
G3388578Z	Kie Mullen	kie.2015@smu.edu.sg	151.22	SM	BSS
S4831788E	Aston Rodriquez	aston.2014@smu.edu.sg	151.23	SM	BSEcons
S1960109X	Sean Strong	sean.2017@smu.edu.sg	151.62		BAcc
S2011492I	Mariella Goulding	mariella.2014@smu.edu.sg	151.71		BBM
S1819391M	Naveed Parra	naveed.2015@smu.edu.sg	151.89	DD	BSEcons
G2562108P	Corben Cairns	corben.2014@smu.edu.sg	152.38	DD	BSS
S3257245V	Gertrude Walls	gertrude.2017@smu.edu.sg	152.62		BL
G3232499C	Hanan Lara	hanan.2017@smu.edu.sg	152.65		BL
S5902347E	Rumaysa Fitzgerald	rumaysa.2016@smu.edu.sg	152.67	SM	BAcc
G7673788X	Tiegan Campbell	tiegan.2014@smu.edu.sg	152.82		BL
S8973808O	Inigo Bartlett	inigo.2016@smu.edu.sg	152.98		BSS
S3162317J	Kareem Rubio	kareem.2015@smu.edu.sg	153.04		BSS
G9066803G	Paula Tang	paula.2014@smu.edu.sg	153.17		BBM
S8311184T	Aayat Hodgson	aayat.2014@smu.edu.sg	240	DD	BSS
G5119957K	Elmer Werner	elmer.2017@smu.edu.sg	153.34	DD	BBM
S6040114U	Sumaya Good	sumaya.2015@smu.edu.sg	153.52		BL
S3943836N	Uzair Macdonald	uzair.2016@smu.edu.sg	153.54	SM	BAcc
G6592376K	Kate Seymour	kate.2015@smu.edu.sg	153.66	SM	BSS
S1973246T	Tracey Wu	tracey.2017@smu.edu.sg	154.44		BSIS
S3756316S	Michelle Huynh	michelle.2016@smu.edu.sg	154.59	SM	BAcc
G4938111H	Arham Rocha	arham.2015@smu.edu.sg	155.24	SM	BBM
G3215423M	Rees Hamer	rees.2017@smu.edu.sg	155.24	SM	BBM
S3490621U	Lara Pacheco	lara.2014@smu.edu.sg	250	SM	BL
G3884598W	Reeva Hanson	reeva.2014@smu.edu.sg	155.43	SM	BAcc
G7614275P	Gene Rodrigues	gene.2014@smu.edu.sg	155.46		BSS
S9677868X	Salahuddin Allan	salahuddin.2014@smu.edu.sg	155.71	SM	BSEcons
G3168532J	Ronan James	ronan.2014@smu.edu.sg	155.71	SM	BBM
G2235557D	Axel Dodson	axel.2016@smu.edu.sg	156.17		BAcc
S6324884H	Cassandra Quintero	cassandra.2016@smu.edu.sg	156.22		BSIS
G9334910Z	Malcolm Holt	malcolm.2015@smu.edu.sg	156.43	SM	BSS
S4969489L	Fabian Burn	fabian.2016@smu.edu.sg	156.66	SM	BSIS
G7308220D	Jess Yu	jess.2016@smu.edu.sg	156.66		BSS
S8635158X	Lacey-Mai Crossley	lacey-mai.2017@smu.edu.sg	156.67		BSS
S7778953Y	Nakita Love	nakita.2014@smu.edu.sg	190	SM	BL
G6090151T	Cherry Weston	cherry.2014@smu.edu.sg	157.4		BAcc
S2507143F	Juniper Carlson	juniper.2014@smu.edu.sg	157.51		BAcc
G5914491B	Milla Montgomery	milla.2014@smu.edu.sg	157.92	SM	BAcc
S7302026A	Marsha Atherton	marsha.2016@smu.edu.sg	158.47		BBM
G6446910D	Liana Tait	liana.2014@smu.edu.sg	158.75	SM	BSEcons
G1425711H	Ubaid Wormald	ubaid.2015@smu.edu.sg	158.89		BSIS
S9017570X	Fahmida Mcfadden	fahmida.2014@smu.edu.sg	290	DD	BSIS
G5596379X	Jared Porter	jared.2014@smu.edu.sg	159.06	DD	BAcc
G8274424J	Paulina Hackett	paulina.2016@smu.edu.sg	159.2	SM	BL
S8773487I	Dafydd Parra	dafydd.2016@smu.edu.sg	159.25	DD	BSIS
G4207090J	Caris Odling	caris.2016@smu.edu.sg	159.45		BAcc
G2062544D	Jakub Dupont	jakub.2017@smu.edu.sg	159.56	SM	BSEcons
G3266145K	Niamh Knowles	niamh.2016@smu.edu.sg	159.89		BL
S7363606X	Jenson Schultz	jenson.2016@smu.edu.sg	160.24	DD	BSIS
S2795974C	Lennie Bob	lennie.2014@smu.edu.sg	160.39		BBM
G8895116J	Flynn Spooner	flynn.2015@smu.edu.sg	77.88	DD	BAcc
G5072658T	Connie Curran	connie.2017@smu.edu.sg	200	DD	BSEcons
G3261009U	Adnaan Keller	adnaan.2017@smu.edu.sg	161.33	DD	BSS
G1342512U	Isaac Bird	isaac.2015@smu.edu.sg	161.39		BSS
G947898TJ	Catherine Flores	catherine.2017@smu.edu.sg	162	SM	BSCS
G2887064Y	Elspeth Lugo	elspeth.2014@smu.edu.sg	162.05		BL
S5884439R	Shivam Peterson	shivam.2014@smu.edu.sg	162.16	SM	BSEcons
G9568197E	Sian Thorne	sian.2017@smu.edu.sg	162.44		BBM
G5995568X	Timothy Deleon	timothy.2017@smu.edu.sg	162.54	DD	BAcc
S6071694F	Adelle Esparza	adelle.2014@smu.edu.sg	162.7	SM	BAcc
S7535528S	Sylvie Rojas	sylvie.2014@smu.edu.sg	163.18		BBM
G5737974Q	Ayra Odom	ayra.2016@smu.edu.sg	163.46	SM	BAcc
